io_19_31_1=mosi io_17_31_0=cs_n io_16_31_0=enc_dec io_13_31_1=start io_18_31_1=rst_n | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=mosi io_17_31_0=start io_16_31_0=rst_n io_13_31_1=cs_n io_18_31_1=enc_dec | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=mosi io_17_31_0=start io_16_31_0=rst_n io_13_31_1=enc_dec io_18_31_1=cs_n | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=mosi io_17_31_0=start io_16_31_0=cs_n io_13_31_1=rst_n io_18_31_1=enc_dec | RB pre=80000000 post=00000000 | CR pre=0011085f post=002210bf
io_19_31_1=mosi io_17_31_0=start io_16_31_0=cs_n io_13_31_1=enc_dec io_18_31_1=rst_n | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=mosi io_17_31_0=start io_16_31_0=enc_dec io_13_31_1=rst_n io_18_31_1=cs_n | RB pre=00000000 post=00000000 | CR pre=00110840 post=00221080
io_19_31_1=mosi io_17_31_0=start io_16_31_0=enc_dec io_13_31_1=cs_n io_18_31_1=rst_n | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=mosi io_17_31_0=enc_dec io_16_31_0=rst_n io_13_31_1=cs_n io_18_31_1=start | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=mosi io_17_31_0=enc_dec io_16_31_0=rst_n io_13_31_1=start io_18_31_1=cs_n | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=mosi io_17_31_0=enc_dec io_16_31_0=cs_n io_13_31_1=rst_n io_18_31_1=start | RB pre=80000000 post=00000000 | CR pre=0000003f post=0000007f
io_19_31_1=mosi io_17_31_0=enc_dec io_16_31_0=cs_n io_13_31_1=start io_18_31_1=rst_n | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=mosi io_17_31_0=enc_dec io_16_31_0=start io_13_31_1=rst_n io_18_31_1=cs_n | RB pre=00000000 post=00000000 | CR pre=00000020 post=00000040
io_19_31_1=mosi io_17_31_0=enc_dec io_16_31_0=start io_13_31_1=cs_n io_18_31_1=rst_n | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=cs_n io_17_31_0=rst_n io_16_31_0=mosi io_13_31_1=start io_18_31_1=enc_dec | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=cs_n io_17_31_0=rst_n io_16_31_0=mosi io_13_31_1=enc_dec io_18_31_1=start | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=cs_n io_17_31_0=rst_n io_16_31_0=start io_13_31_1=mosi io_18_31_1=enc_dec | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
